loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
2016-11-07 07:09:54.442,1,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.5949954167,-0.0432586669921875,0.6768951416015625,-0.750091552734375,140614.5889834167,-0.2194348864426049,-0.09563091895143735,-0.1322685586998754
2016-11-07 07:09:54.478,2,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.6050054167,-0.1045074462890625,0.6995086669921875,-0.751007080078125,140614.5989934167,-0.2514540722286276,-0.115851235843973,-0.1388486971212432
2016-11-07 07:09:54.478,3,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.6150154167,-0.0751800537109375,0.6804962158203125,-0.7559051513671875,140614.6090034167,-0.3011057812759559,-0.02113324851421479,-0.1103579334634665
2016-11-07 07:09:54.479,4,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.6250254167,-0.07550048828125,0.681243896484375,-0.7441864013671875,140614.6190134167,-0.3515029091123974,-0.02435141237546654,-0.0944934828498645
2016-11-07 07:09:54.479,5,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.6350344167,-0.0792694091796875,0.6829681396484375,-0.7246856689453125,140614.6290224167,-0.3773198590357346,-0.01266333098332678,-0.07853289212091062
2016-11-07 07:09:54.479,6,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.6450444167,-0.0961761474609375,0.7002716064453125,-0.713104248046875,140614.6390324167,-0.3753270155920282,0.006477873035508739,-0.06243541491192667
2016-11-07 07:09:54.483,7,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.6550234167,-0.0844879150390625,0.6927337646484375,-0.7081298828125,140614.6490424167,-0.3531338289639619,0.03730556054982997,-0.02903777694567897
2016-11-07 07:09:54.493,8,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.6650334167,-0.0755157470703125,0.6793212890625,-0.697784423828125,140614.6590524167,-0.3201242135685388,0.04685299305776404,-0.005200620976706737
2016-11-07 07:09:54.503,9,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.6750434167,-0.07965087890625,0.6876220703125,-0.7012481689453125,140614.6690314167,-0.2827733792801775,0.04576109701083155,0.01331207702487008
2016-11-07 07:09:54.513,10,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.6850534167,-0.077911376953125,0.6971282958984375,-0.708343505859375,140614.6790414167,-0.2497038427602276,0.04999605577627556,0.02963192818487565
2016-11-07 07:09:54.554,11,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.6950624167,-0.072052001953125,0.6949462890625,-0.70855712890625,140614.6890504167,-0.2294236047431651,0.04572114959448036,0.0405229254627547
2016-11-07 07:09:54.554,12,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.7050724167,-0.06549072265625,0.6922760009765625,-0.7041015625,140614.6990604167,-0.2101657542685842,0.03826163538116842,0.04496028447104472
2016-11-07 07:09:54.554,13,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.7150824167,-0.0525665283203125,0.685211181640625,-0.700836181640625,140614.7090704167,-0.1790744138063451,0.03614335705011939,0.03761102512686205
2016-11-07 07:09:54.554,14,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.7250614167,-0.05474853515625,0.689117431640625,-0.70355224609375,140614.7190804167,-0.1393219408469503,0.02659113085222318,0.01741893774188127
2016-11-07 07:09:54.563,15,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.7350714167,-0.05792236328125,0.7032623291015625,-0.7048187255859375,140614.7290904167,-0.1049783480615065,0.03194035621775634,0.0003800330875543073
2016-11-07 07:09:54.573,16,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.745079375,-0.0623016357421875,0.7081298828125,-0.708770751953125,140614.739097375,-0.07708732828121562,0.04154371510858207,-0.01347985617354507
2016-11-07 07:09:54.583,17,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.755089375,-0.068634033203125,0.7120361328125,-0.7093048095703125,140614.749077375,-0.06851940642221269,0.0500679611257077,-0.01776115394195646
2016-11-07 07:09:54.594,18,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.765098375,-0.0720367431640625,0.7173919677734375,-0.7120361328125,140614.759086375,-0.06642136811544827,0.05644996036197358,-0.01346334457478658
2016-11-07 07:09:54.634,19,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.775108375,-0.0730133056640625,0.7169036865234375,-0.7122802734375,140614.769096375,-0.06862193812418074,0.05643557929208715,-0.003789944547291764
2016-11-07 07:09:54.635,20,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.785118375,-0.0693511962890625,0.7176361083984375,-0.7144622802734375,140614.779106375,-0.08148580513759049,0.05110393078974852,0.001533448155667625
2016-11-07 07:09:54.635,21,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.795128375,-0.0720367431640625,0.7173919677734375,-0.7122802734375,140614.789116375,-0.09864162256377193,0.04470435469028811,0.008987902362908421
2016-11-07 07:09:54.635,22,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.805107375,-0.0664520263671875,0.7164306640625,-0.7075958251953125,140614.799125375,-0.1200587640501892,0.04363642709316633,0.01102095953907491
2016-11-07 07:09:54.643,23,056ACF6A-281D-4495-A3A6-ECC73F18E70A,140614.815117375,-0.0600738525390625,0.7105712890625,-0.713897705078125,140614.809135375,-0.133968987055891,0.04470275679363406,0.009861951832672427
